carat,depth,table,x,price,cut_encoded,color_encoded,clarity_encoded
1.07,61.8,59.0,6.57,8.443,3.0,3.0,0.0
0.33,61.5,56.0,4.45,6.55,4.0,4.0,4.0
0.4,60.7,60.0,4.78,7.188,3.0,5.0,5.0
0.5,63.3,57.0,5.01,7.27,1.0,3.0,3.0
0.5,61.74637745643308,57.45169447534297,5.2,6.865,1.0,5.0,0.0
0.56,61.4,57.0,5.3,7.154,4.0,3.0,0.0
0.41,59.7,57.0,4.87,7.071,4.0,5.0,3.0
1.03,61.74637745643308,60.0,6.6,8.098,3.0,1.0,2.0
0.54,62.6,55.0,5.22,7.508,4.0,6.0,4.0
0.3,61.1,56.0,4.33,6.654,4.0,3.0,3.0
0.9,62.9,58.0,6.11,8.236,3.0,4.0,2.0
0.61,61.1,57.0,5.46,7.245,4.0,1.0,0.0
1.26,62.2,57.0,6.86,8.655,2.0,2.0,0.0
1.22,58.9,59.0,7.02,8.893,3.0,2.0,4.0
0.4,59.3,59.0,4.77,6.816,3.0,6.0,3.0
0.34,61.3,55.0,4.49,6.118,4.0,6.0,0.0
1.0,60.4,58.0,6.51,8.514,3.0,2.0,3.0
1.58,61.0,57.0,7.55,9.515,4.0,6.0,2.0
0.7975755778024965,59.9,60.0,8.27,9.748,4.0,1.0,2.0
0.32,61.0,56.0,4.42,6.631,4.0,5.0,3.0
2.0,60.8,62.0,8.09,9.476,2.0,0.0,3.0
1.27,61.8,57.0,6.94,9.379,4.0,6.0,4.0
1.5,63.4,58.0,7.2,9.302,2.0,3.0,2.0
0.5,60.9,57.0,5.16,7.093,4.0,3.0,0.0
1.51,61.1,59.0,7.4,9.029,4.0,1.0,2.0
0.62,62.2,55.0,5.51,7.508,3.0,4.0,3.0
1.68,59.2,57.0,7.83,8.943,3.0,0.0,0.0
0.52,61.6,54.0,5.21,7.451,4.0,4.0,4.0
1.01,63.4,59.0,6.38,8.518,2.0,6.0,2.0
1.28,61.4,57.0,6.96,8.681,4.0,4.0,0.0
0.5,61.7,55.0,5.11,7.394,4.0,2.0,3.0
0.66,60.5,59.0,5.67,7.701,2.0,4.0,5.0
1.01,62.7,56.0,6.37,8.726,2.0,3.0,3.0
0.31,62.0,57.0,4.34,6.299,4.0,4.0,3.0
0.31,60.2,57.0,4.38,7.052,4.0,3.0,7.0
0.58,61.6,57.0,5.33,7.911,4.0,3.0,6.0
0.4,63.1,58.0,4.69,6.782,2.0,3.0,2.0
0.9,62.1,56.0,6.15,8.62,4.0,4.0,4.0
1.5,62.1,60.0,7.32,9.079,3.0,3.0,2.0
1.17,61.7,59.0,6.72,9.204,3.0,5.0,4.0
1.5,61.2,63.0,7.28,9.705,2.0,5.0,4.0
0.9,61.8,60.0,6.14,8.307,2.0,6.0,2.0
0.72,61.3,57.45169447534297,5.76,8.054,1.0,3.0,5.0
0.71,60.4,57.0,5.77,8.05,4.0,5.0,3.0
1.56,62.4,57.0,7.39,8.963,4.0,0.0,3.0
0.71,63.1,54.0,5.64,7.853,2.0,4.0,3.0
0.52,61.1,58.0,5.19,7.656,2.0,4.0,6.0
0.71,64.1,58.0,5.61,7.597,2.0,0.0,4.0
1.11,61.9,57.0,6.62,8.457,4.0,1.0,2.0
1.27,62.3,56.0,6.93,8.646,3.0,1.0,2.0
0.24,63.1,55.0,3.95,6.163,2.0,5.0,2.0
1.05,63.0,59.0,6.44,8.333,2.0,2.0,0.0
1.01,62.5,60.0,6.34,8.354,3.0,4.0,0.0
0.7,61.8,55.0,5.71,7.706,3.0,5.0,0.0
0.42,60.9,59.0,4.81,6.865,3.0,6.0,3.0
0.34,61.1,56.0,4.51,6.621,4.0,2.0,6.0
1.11,61.2,55.0,6.72,8.586,4.0,6.0,0.0
1.65,61.5,58.0,7.49,8.98,2.0,0.0,2.0
0.81,63.6,57.0,5.87,8.04,2.0,2.0,4.0
0.81,61.7,55.1,5.97,8.325,4.0,4.0,5.0
1.47,61.74637745643308,59.0,6.98,8.497,0.0,2.0,1.0
0.7975755778024965,61.2,58.0,8.24,9.637,3.0,1.0,0.0
1.55,62.6,56.0,7.41,9.131,4.0,1.0,3.0
0.32,61.3,54.0,4.42,6.658,4.0,6.0,5.0
0.55,62.0,55.0,5.28,7.447,4.0,6.0,3.0
0.3,61.6,62.0,4.3,6.227,3.0,1.0,2.0
1.56,59.6,58.0,7.55,8.912,2.0,0.0,2.0
0.7,61.0,61.0,5.69,7.99,1.0,6.0,4.0
0.3,61.5,58.0,4.28,6.461,2.0,6.0,3.0
0.33,60.0,58.0,4.49,6.611,3.0,4.0,3.0
0.72,61.7,58.0,5.79,7.662,3.0,6.0,0.0
0.7,59.3,62.0,5.8,7.822,3.0,4.0,4.0
1.04,62.3,59.0,6.39,9.011,2.0,5.0,4.0
0.34,63.2,55.0,4.46,6.286,1.0,2.0,3.0
1.02,62.0,60.0,6.37,8.476,3.0,2.0,2.0
0.31,63.4,57.0,4.31,6.299,1.0,6.0,2.0
1.12,61.6,55.0,6.69,8.773,4.0,6.0,2.0
1.0,61.9,58.0,6.3,8.508,2.0,2.0,2.0
0.33,62.1,56.0,4.4,6.501,4.0,4.0,4.0
0.55,62.1,56.0,5.28,7.186,3.0,4.0,2.0
1.2,61.3,58.0,6.85,8.799,3.0,2.0,4.0
1.51,61.6,59.0,7.32,9.282,3.0,4.0,2.0
0.54,61.2,58.0,5.21,7.442,2.0,6.0,3.0
0.32,61.3,58.0,4.39,6.474,3.0,1.0,4.0
0.33,61.4,59.0,4.49,6.75,3.0,4.0,4.0
0.54,62.1,56.0,5.19,7.593,4.0,4.0,5.0
0.3,61.7,55.0,4.31,6.849,4.0,6.0,7.0
0.31,60.9,60.0,4.38,6.142,3.0,0.0,2.0
0.41,61.74637745643308,61.0,4.86,6.792,1.0,3.0,4.0
0.72,62.2,58.0,5.72,7.807,4.0,2.0,2.0
0.43,61.5,56.0,4.86,7.169,4.0,2.0,6.0
0.9,61.1,56.0,6.23,8.267,2.0,3.0,2.0
0.3,61.74637745643308,54.0,4.14,6.373,0.0,6.0,5.0
1.01,62.4,58.0,6.41,8.717,3.0,4.0,3.0
1.5,62.1,60.0,7.34,8.868,3.0,4.0,0.0
0.56,61.1,57.0,5.38,7.53,3.0,6.0,3.0
0.33,62.4,54.0,4.41,6.41,4.0,5.0,2.0
0.5,63.1,57.0,5.04,7.447,2.0,5.0,4.0
1.2,62.9,59.0,6.75,8.695,3.0,4.0,4.0
0.7,62.2,55.0,5.62,7.672,2.0,1.0,2.0
0.38,62.4,54.0,4.68,6.906,4.0,3.0,4.0
0.43,61.5,56.0,4.87,6.97,4.0,5.0,2.0
0.42,62.1,55.0,4.79,7.19,4.0,5.0,5.0
0.31,61.8,56.0,4.36,6.771,4.0,6.0,3.0
1.04,62.3,58.0,6.44,8.338,2.0,3.0,0.0
1.26,61.5,59.0,6.92,9.056,4.0,6.0,2.0
0.3,62.2,55.0,4.29,6.314,4.0,5.0,2.0
1.56,61.5,58.0,7.47,9.406,3.0,6.0,3.0
0.43,61.0,57.0,4.87,6.875,3.0,3.0,3.0
0.5,59.6,61.0,5.12,7.102,1.0,3.0,2.0
0.27,62.9,55.0,4.13,6.339,2.0,4.0,6.0
0.78,62.2,56.0,5.85,8.207,2.0,5.0,3.0
0.53,63.2,56.0,5.14,7.482,1.0,6.0,4.0
1.06,62.1,58.0,6.49,8.515,4.0,4.0,0.0
0.4,63.1,59.0,4.68,6.844,2.0,3.0,4.0
0.59,63.4,56.0,5.36,7.227,4.0,4.0,2.0
1.08,63.5,56.0,6.53,8.223,2.0,6.0,0.0
1.21,62.8,55.0,6.79,8.68,4.0,2.0,3.0
0.4,61.7,58.0,4.74,6.898,3.0,5.0,2.0
0.41,62.6,57.0,4.77,6.735,4.0,5.0,0.0
0.32,62.7,54.0,4.4,6.628,4.0,5.0,2.0
0.58,61.74637745643308,55.0,5.52,7.249,3.0,6.0,2.0
1.1,61.8,58.0,6.6,8.362,2.0,0.0,0.0
0.71,61.74637745643308,61.0,5.83,7.847,1.0,3.0,4.0
0.33,59.1,60.0,4.48,6.649,2.0,3.0,4.0
0.25,61.5,60.0,4.02,6.075,3.0,6.0,4.0
0.25,62.1,57.0,4.02,6.282,4.0,6.0,3.0
1.0,62.5,59.0,6.38,8.679,3.0,5.0,2.0
0.7,62.8,59.0,5.65,8.024,2.0,3.0,4.0
0.32,61.4,56.0,4.39,6.579,4.0,4.0,3.0
0.51,62.7,56.0,5.14,7.472,4.0,6.0,4.0
1.51,62.2,57.0,7.33,9.354,4.0,2.0,3.0
0.7975755778024965,61.3,59.0,8.08,9.812,2.0,4.0,2.0
1.02,62.0,56.0,6.44,8.463,4.0,1.0,2.0
1.04,61.8,59.0,6.49,8.531,2.0,4.0,2.0
0.37,61.5,56.0,4.59,6.836,4.0,3.0,6.0
0.43,61.9,55.0,4.84,6.849,4.0,4.0,4.0
0.3,61.8,57.0,4.31,6.745,4.0,4.0,5.0
0.5,59.6,60.0,5.15,6.866,1.0,0.0,2.0
1.56,61.7,59.0,7.51,9.089,3.0,4.0,0.0
0.71,62.1,57.0,5.67,8.009,2.0,6.0,4.0
1.25,61.6,54.0,6.94,8.497,4.0,2.0,0.0
0.38,61.3,54.0,4.68,6.234,4.0,2.0,0.0
0.94,62.2,59.0,6.27,8.35,3.0,3.0,0.0
0.35,61.4,55.0,4.55,6.56,4.0,3.0,3.0
0.3,61.74637745643308,63.0,4.37,6.223,2.0,2.0,2.0
0.41,61.8,57.0,4.75,6.76,4.0,3.0,3.0
0.31,62.0,55.0,4.34,6.671,4.0,4.0,6.0
0.32,59.3,58.0,4.47,6.985,3.0,3.0,7.0
0.36,60.9,59.0,4.62,6.592,3.0,2.0,3.0
1.54,63.1,57.0,7.34,9.284,1.0,2.0,4.0
0.41,62.1,58.0,4.73,6.526,3.0,6.0,0.0
0.7975755778024965,60.9,55.0,8.16,9.776,4.0,4.0,0.0
0.66,61.6,58.1,5.54,7.59,2.0,2.0,4.0
1.02,61.74637745643308,57.0,6.19,8.243,0.0,1.0,0.0
0.52,61.2,57.0,5.17,7.501,4.0,2.0,6.0
1.01,62.4,59.0,6.32,8.9,1.0,4.0,5.0
1.59,61.0,58.0,7.58,9.086,3.0,2.0,2.0
0.6,62.0,57.0,5.41,7.761,4.0,4.0,5.0
0.26,61.8,55.0,4.09,6.114,4.0,6.0,4.0
0.42,62.0,55.0,4.83,6.65,4.0,1.0,4.0
0.8,61.6,56.0,5.94,7.707,2.0,0.0,2.0
0.7975755778024965,61.74637745643308,54.0,7.76,9.575,0.0,0.0,4.0
1.76,60.9,60.0,7.79,9.111,2.0,0.0,0.0
1.63,61.74637745643308,60.0,7.71,9.297,1.0,3.0,2.0
1.24,60.1,57.0,7.02,8.473,4.0,0.0,0.0
0.58,61.5,55.0,5.38,7.151,4.0,4.0,0.0
0.74,61.3,57.0,5.81,8.049,4.0,4.0,2.0
0.36,61.4,57.0,4.59,6.375,4.0,2.0,3.0
0.3,62.9,57.0,4.29,6.405,2.0,3.0,3.0
0.71,63.1,58.0,5.65,7.828,2.0,6.0,2.0
1.34,60.7,59.0,7.07,9.137,3.0,4.0,3.0
1.01,61.5,58.0,6.4,8.448,3.0,6.0,0.0
0.41,62.7,56.0,4.76,6.967,4.0,4.0,3.0
0.9,62.8,59.0,6.12,8.404,2.0,5.0,2.0
0.31,60.8,56.0,4.41,6.649,4.0,4.0,6.0
0.37,60.2,60.0,4.7,6.436,3.0,3.0,0.0
0.7975755778024965,62.3,57.0,8.05,9.442,4.0,0.0,2.0
0.71,61.2,59.0,5.74,7.946,3.0,5.0,3.0
1.52,64.6,55.0,7.24,8.914,0.0,2.0,2.0
0.7975755778024965,59.2,59.0,8.54,9.514,3.0,3.0,0.0
0.47,61.1,61.0,4.97,6.929,2.0,3.0,2.0
1.0,61.74637745643308,62.0,6.27,8.328,0.0,6.0,2.0
0.7975755778024965,61.9,59.0,8.42,9.316,3.0,1.0,0.0
0.55,60.9,57.0,5.24,7.003,4.0,0.0,2.0
0.38,62.3,53.6,4.65,6.834,4.0,4.0,5.0
1.51,64.2,54.0,7.18,9.362,1.0,4.0,3.0
1.21,60.5,58.0,6.95,8.747,4.0,1.0,4.0
1.0,63.4,59.0,6.27,9.031,1.0,6.0,6.0
0.33,60.4,59.0,4.47,6.611,3.0,6.0,2.0
1.39,61.3,59.0,7.15,8.968,3.0,4.0,2.0
1.5,62.0,63.0,7.28,8.894,2.0,2.0,0.0
0.53,61.5,57.0,5.21,7.491,4.0,4.0,4.0
0.3,62.3,58.0,4.32,6.515,3.0,6.0,2.0
0.3,61.0,60.0,4.3,6.265,3.0,1.0,5.0
0.51,61.8,55.0,5.15,7.638,4.0,6.0,4.0
0.6,61.2,56.0,5.45,7.691,4.0,6.0,3.0
0.5,61.0,58.0,5.14,6.865,3.0,2.0,0.0
0.61,62.1,56.0,5.42,7.681,4.0,4.0,4.0
0.46,62.5,56.0,4.93,6.926,4.0,0.0,6.0
0.7975755778024965,62.2,58.0,7.99,9.725,1.0,2.0,2.0
1.07,61.5,57.0,6.57,8.657,4.0,1.0,2.0
1.01,63.4,57.0,6.39,8.186,2.0,2.0,0.0
0.41,61.0,57.0,4.82,6.729,4.0,4.0,0.0
0.45,60.8,60.0,4.94,7.156,3.0,6.0,4.0
0.42,62.5,57.0,4.77,6.784,4.0,1.0,6.0
0.92,61.8,57.0,6.27,8.109,4.0,1.0,2.0
1.01,63.9,59.0,6.34,8.849,1.0,6.0,3.0
0.23,60.4,59.0,3.95,6.273,2.0,5.0,5.0
0.54,62.8,57.0,5.25,7.391,4.0,3.0,3.0
0.55,60.4,56.0,5.36,7.783,2.0,6.0,5.0
0.4,62.4,57.0,4.72,7.242,4.0,6.0,6.0
0.78,63.1,56.0,5.84,7.761,2.0,2.0,0.0
0.9,62.6,56.0,6.13,8.122,2.0,3.0,0.0
0.52,63.5,57.0,5.13,7.511,2.0,5.0,3.0
0.7,63.1,58.0,5.6,7.909,1.0,3.0,5.0
0.9,63.5,59.0,6.1,8.368,1.0,2.0,4.0
0.9,62.1,61.0,6.07,8.145,1.0,2.0,2.0
1.51,62.2,61.0,7.25,9.089,1.0,2.0,2.0
1.0,63.6,58.0,6.31,8.505,1.0,3.0,2.0
1.08,61.8,55.0,6.57,8.844,4.0,4.0,3.0
1.72,63.2,61.0,7.57,9.51,1.0,3.0,2.0
0.38,60.6,56.0,4.73,6.718,4.0,3.0,0.0
0.9,63.8,55.0,6.09,8.368,1.0,3.0,3.0
0.36,61.0,55.0,4.62,6.368,2.0,2.0,3.0
0.91,62.0,56.0,6.2,8.443,4.0,3.0,0.0
0.37,62.1,60.0,4.61,6.562,3.0,4.0,2.0
0.9,61.1,54.0,6.29,8.148,3.0,3.0,0.0
0.5,60.4,56.0,5.15,7.545,4.0,6.0,3.0
1.51,62.3,55.0,7.35,9.599,4.0,4.0,5.0
0.32,61.2,55.0,4.41,6.26,4.0,2.0,3.0
0.51,63.3,56.0,5.02,7.039,2.0,1.0,3.0
0.41,62.7,56.0,4.77,6.967,4.0,4.0,3.0
0.9,64.2,54.0,6.08,8.146,2.0,6.0,0.0
0.7975755778024965,62.1,55.0,8.12,9.421,4.0,1.0,0.0
0.32,61.9,55.0,4.38,6.842,4.0,2.0,6.0
2.0,64.1,55.0,7.94,9.792,1.0,4.0,3.0
0.91,62.8,57.0,6.17,8.349,3.0,5.0,2.0
0.71,61.74637745643308,58.0,5.92,8.116,3.0,3.0,6.0
1.53,62.5,57.0,7.38,9.352,4.0,3.0,2.0
1.19,60.8,59.0,6.87,8.648,3.0,2.0,2.0
0.62,61.74637745643308,57.45169447534297,5.85,7.403,0.0,3.0,2.0
1.2,62.9,57.0,6.73,8.559,2.0,1.0,2.0
0.7,61.6,56.0,5.7,8.111,4.0,6.0,2.0
0.39,62.7,58.0,4.65,6.75,2.0,4.0,6.0
0.33,61.9,55.0,4.42,6.766,4.0,2.0,7.0
0.53,62.2,54.0,5.19,7.729,4.0,6.0,5.0
0.34,61.0,59.0,4.48,6.613,3.0,6.0,3.0
1.02,60.9,59.0,6.56,9.08,3.0,3.0,5.0
0.5,61.74637745643308,57.0,4.92,6.441,0.0,3.0,1.0
0.55,60.5,56.0,5.36,7.575,4.0,4.0,5.0
0.3,62.3,55.0,4.3,6.76,4.0,4.0,7.0
0.31,61.2,56.0,4.38,6.953,4.0,4.0,6.0
0.77,63.4,57.0,5.8,8.099,1.0,6.0,3.0
0.55,64.3,57.9,5.16,7.244,1.0,3.0,2.0
0.9,61.74637745643308,58.0,5.99,8.451,1.0,5.0,3.0
0.3,58.8,61.0,4.43,6.41,3.0,1.0,4.0
1.26,61.8,58.0,6.91,8.533,3.0,0.0,2.0
0.8,62.1,56.0,5.93,8.305,4.0,3.0,3.0
0.73,62.7,58.0,5.76,7.902,3.0,6.0,2.0
0.27,62.5,55.0,4.12,6.223,2.0,2.0,5.0
0.5,61.9,61.0,5.09,7.27,2.0,5.0,2.0
1.0,63.1,63.0,6.33,8.22,2.0,4.0,0.0
0.9,61.74637745643308,56.0,5.91,8.031,0.0,1.0,5.0
0.52,62.0,56.0,5.14,7.377,4.0,2.0,4.0
0.75,60.4,56.0,5.9,8.247,2.0,6.0,3.0
0.71,61.9,63.0,5.74,7.773,2.0,6.0,0.0
0.4,63.1,57.0,4.73,6.829,2.0,5.0,2.0
1.56,62.0,56.0,7.39,9.257,4.0,1.0,5.0
0.29,62.3,58.0,4.22,6.498,2.0,3.0,6.0
0.9,63.0,56.0,6.13,8.658,2.0,5.0,4.0
1.03,59.0,55.0,6.67,8.956,4.0,3.0,4.0
1.07,60.2,55.0,6.64,8.7,2.0,5.0,2.0
0.28,59.6,59.0,4.3,6.465,2.0,6.0,6.0
0.59,62.6,54.0,5.32,7.417,4.0,4.0,3.0
0.9,62.7,57.0,6.1,8.292,4.0,5.0,0.0
0.43,60.2,55.0,4.92,7.107,2.0,2.0,6.0
2.0,63.3,59.0,8.03,9.785,2.0,2.0,2.0
1.01,62.9,58.0,6.38,8.078,3.0,2.0,2.0
1.33,62.0,55.0,7.12,9.263,4.0,4.0,4.0
0.31,62.0,56.0,4.39,6.528,4.0,5.0,2.0
0.41,62.3,56.0,4.78,7.125,4.0,6.0,5.0
1.51,63.0,59.0,7.3,9.16,3.0,1.0,4.0
0.3,61.7,58.0,4.32,6.41,3.0,1.0,4.0
0.4,63.4,58.0,4.61,6.447,1.0,0.0,4.0
1.04,61.74637745643308,58.0,6.36,8.636,0.0,4.0,4.0
0.7975755778024965,59.9,59.0,8.7,9.596,3.0,0.0,2.0
0.35,60.9,57.0,4.51,6.72,4.0,5.0,3.0
1.26,60.1,59.0,7.0,8.547,3.0,1.0,0.0
0.4,61.7,59.0,4.76,6.957,3.0,5.0,3.0
0.71,63.7,56.0,5.68,7.733,1.0,1.0,5.0
0.71,62.7,60.0,5.73,8.237,3.0,6.0,6.0
1.12,61.4,57.0,6.69,9.173,4.0,3.0,5.0
1.74,61.1,56.0,7.85,9.323,4.0,0.0,4.0
0.73,62.0,57.0,5.86,7.956,3.0,6.0,3.0
0.71,61.4,55.0,5.76,7.834,4.0,3.0,0.0
0.4,61.1,56.0,4.75,6.816,4.0,6.0,3.0
0.41,60.0,61.0,4.77,6.526,2.0,2.0,2.0
0.38,59.2,58.0,4.8,7.136,3.0,3.0,6.0
1.33,63.7,56.0,6.92,8.848,1.0,1.0,4.0
0.4,61.8,53.0,4.75,6.965,4.0,4.0,6.0
0.7,62.9,58.0,5.65,7.829,2.0,1.0,6.0
0.37,60.5,56.0,4.66,6.831,4.0,4.0,7.0
0.59,62.2,60.0,5.37,7.661,3.0,3.0,2.0
0.54,62.3,58.0,5.26,7.434,3.0,3.0,2.0
0.7,63.1,58.0,5.69,7.742,2.0,4.0,3.0
0.91,59.2,60.0,6.3,8.294,2.0,2.0,2.0
0.31,63.6,55.0,4.29,6.492,1.0,3.0,5.0
0.33,61.4,60.0,4.39,6.766,2.0,4.0,6.0
0.34,62.4,56.0,4.45,6.129,4.0,1.0,2.0
1.1,60.5,56.0,6.76,9.129,4.0,4.0,5.0
0.5,60.0,63.0,5.06,7.088,2.0,4.0,2.0
0.31,59.9,59.0,4.38,6.299,3.0,4.0,3.0
0.27,63.2,55.0,4.1,6.153,2.0,5.0,4.0
0.31,62.3,58.0,4.38,6.286,3.0,1.0,2.0
0.5,62.8,61.0,4.94,7.277,1.0,3.0,3.0
1.26,59.1,59.0,7.09,8.683,3.0,4.0,0.0
